parameter,value,P_S_mean,P_S_std,ci_lower,ci_upper,param,E_K_mean,P_survival_mean
R_M_max,60,0.36034500554112103,0.09215000416425882,0.18527444614374192,0.5430330390670393,range,,
R_M_max,90,0.34915327479402075,0.09180102196628503,0.1781420423415991,0.5337962081876455,range,,
R_M_max,120,0.3432282621138367,0.09216391604430872,0.176843906739101,0.5282865828455876,range,,
R_M_max,150,0.3343464381839821,0.09271155654099927,0.16583892886381701,0.5237026969336834,range,,
R_M_max,180,0.3261866079278884,0.09378926001415455,0.15765261666759364,0.5188222912096809,range,,
R_M_max,200,0.3193867824347658,0.09319702485886493,0.15463964277274939,0.5143636994473219,range,,
N_FPV,2,0.3441209688152716,0.09375678539344975,0.17137001010727992,0.5345780512160402,fpv_count,0.6882419376305432,
N_FPV,3,0.3427669218516505,0.09363285481978477,0.17239468305300287,0.5357191559716555,fpv_count,1.0283007655549516,
N_FPV,5,0.34146320983023426,0.09200029584072923,0.1721383525382196,0.5270339924491593,fpv_count,1.707316049151171,
N_FPV,7,0.3414041594494039,0.09227214888188068,0.17312923994761276,0.5274787684060702,fpv_count,2.389829116145827,
N_FPV,10,0.33895346430325896,0.09386395149687685,0.16978651492165336,0.5290409224885163,fpv_count,3.3895346430325897,
rho_AD,0.5,0.36112750751819406,0.09312242184833254,0.18694307537970897,0.5488212170194721,ad_density,,0.7678814543632819
rho_AD,1.0,0.3434739681029878,0.0922612026530878,0.17450956442793275,0.5328362005964371,ad_density,,0.7270553956476445
rho_AD,2.0,0.34248599777739025,0.09254259528475793,0.17410402558715096,0.5347229476871148,ad_density,,0.7243280059912689
rho_AD,3.0,0.3417654200880986,0.09361123738837854,0.17028179066772758,0.5319177234464498,ad_density,,0.7261111383001889
rho_AD,5.0,0.34235763243813927,0.09328802149735461,0.1730177789804721,0.5331886762317508,ad_density,,0.72456472569046
guidance_type,radio,0.10179982205976675,0.03825370028121984,0.042151199083745025,0.18700626202131898,guidance,,
guidance_type,fiber,0.3425525821115788,0.09260555942867861,0.16929824221475676,0.5297759591518143,guidance,,
guidance_type,ai,0.27681503982905326,0.07625443060856452,0.13727045328041998,0.4327311914219217,guidance,,
H_M_op,1000,0.3416605360586064,0.093145494744896,0.17008780787471076,0.5323926344631852,altitude,,
H_M_op,1500,0.3413871489105351,0.09218344834914373,0.1723044470872252,0.529157217834293,altitude,,
H_M_op,2000,0.3409390127405908,0.09316086763095277,0.17099787967613,0.5332974145331976,altitude,,
H_M_op,2500,0.34245884598779336,0.09328713606604234,0.17215414461966277,0.5300402421140301,altitude,,
H_M_op,3000,0.3426467327457748,0.09298538011083875,0.17465559790122517,0.5301703282283267,altitude,,
V_wind,0,0.34279937440978836,0.09343247738441973,0.16978712782593075,0.531611246716432,wind,,
V_wind,10,0.3436570154298914,0.09214365120109375,0.1736412279937102,0.5284268491271722,wind,,
V_wind,20,0.3414524782796993,0.09284841389580353,0.17103111244745112,0.5308641785136191,wind,,
V_wind,30,0.3082630736345351,0.08316200316310923,0.15563931982341656,0.475532966874254,wind,,
V_wind,40,0.274566775549855,0.07421946201503161,0.14091315353240205,0.42886307173384763,wind,,
RCS,0.01,0.3614751495976539,0.0933997924560178,0.18426863806660512,0.5500239756318628,rcs,,0.7695931053742192
RCS,0.05,0.3426087485998717,0.09052241730354049,0.17627113036950623,0.5260889850817762,rcs,,0.7257621348449413
RCS,0.1,0.34256648387855615,0.09204490799423358,0.1756512707465148,0.5280342276568367,rcs,,0.724768932941048
RCS,0.5,0.3435811995932105,0.09305921307059688,0.17362886118479848,0.5349129279719795,rcs,,0.7266085473126803
RCS,1.0,0.342849252593408,0.09160768638163562,0.17580973192816782,0.5289522224389853,rcs,,0.7268702447384108
